"id","value","payment_date","employee_id"
1,"1600","2024-03-13",1
2,"1300","2024-03-13",2
3,"4000","2024-03-13",3
4,"3500","2024-03-13",4
5,"2000","2024-03-13",5
6,"2000","2024-04-13",1
7,"1600","2024-04-13",2
8,"3500","2024-04-13",3
9,"3000","2024-04-13",4
10,"2500","2024-04-13",5
11,"1800","2024-05-13",1
12,"1800","2024-05-13",2
13,"3700","2024-05-13",3
14,"2800","2024-05-13",4
15,"2200","2024-05-13",5
16,"2000","2024-06-13",1
17,"2000","2024-06-13",2
18,"2000","2024-06-13",3
19,"2500","2024-06-13",4
20,"4000","2024-06-13",5
21,"2000","2024-07-13",1
22,"1800","2024-07-13",2
23,"2500","2024-07-13",3
24,"3000","2024-07-13",4
25,"4500","2024-07-13",5
